Space Availability,Location,Plant Type,Growth Type,Budget,Aesthetic Feature,Watering,Maintenance,Sunlight,Recommended Plant
Residential,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Cabbage
Residential,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Broccoli
Residential,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Cauliflower
Residential,Outdoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Brussels Sprouts
Residential,Outdoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Bok Choy
Residential,Outdoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Mustard Greens
Residential,Outdoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Chinese Cabbage
Residential,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Endive
Residential,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Fennel
Residential,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Kohlrabi
Residential,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Beet Greens
Residential,Outdoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Collard Greens
Residential,Outdoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Turnip Greens
Residential,Outdoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Radicchio
Residential,Outdoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Cress
Residential,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Alfalfa Sprouts
Residential,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Mache
Residential,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Amaranth
Residential,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Chard
Residential,Outdoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Dandelion
Residential,Outdoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Mangoes
Residential,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Apples
Residential,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Papaya
Residential,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Tomatillos
Residential,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Bell Peppers
Residential,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Chili Peppers
Residential,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Habanero Peppers
Residential,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Jalapeños
Residential,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Caribbean Hot Peppers
Residential,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Okra
Residential,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Squash Blossoms
Residential,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Bitter Melon
Residential,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Kale
Residential,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Rhubarb
Residential,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sweet Peas
Residential,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Snow Peas
Residential,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Chard
Residential,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Mint
Residential,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Raspberries
Residential,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Blackberries
Residential,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Cucumbers
Residential,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Pumpkins
Residential,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Spaghetti Squash
Residential,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Watermelon
Residential,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Chili Peppers
Residential,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Sweet Corn
Residential,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Oats
Commercial,Indoor,Small,Tropical,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Rice
Commercial,Indoor,Small,Tropical,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Barley
Commercial,Indoor,Small,Tropical,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Wheatgrass
Commercial,Indoor,Small,Tropical,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sunflower Greens
Commercial,Indoor,Small,Tropical,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Cucumber Melon
Commercial,Indoor,Small,Tropical,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Pineapple Sage
Commercial,Indoor,Small,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Cranberries
Commercial,Indoor,Small,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Goji Berries
Commercial,Indoor,Small,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Pine Nuts
Commercial,Indoor,Small,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Tree Collards
Commercial,Indoor,Small,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Wild Leeks
Commercial,Indoor,Small,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Purslane
Commercial,Indoor,Small,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Chickweed
Commercial,Indoor,Small,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Taro
Commercial,Indoor,Small,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Arrowroot
Commercial,Indoor,Small,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Bamboo Shoots
Commercial,Indoor,Small,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Ginger
Commercial,Indoor,Small,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Turmeric
Commercial,Indoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Horseradish
Commercial,Indoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Moringa
Commercial,Indoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Sea Buckthorn
Commercial,Indoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Jalapeños
Commercial,Indoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Ginger Root
Commercial,Indoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Sunchokes
Commercial,Indoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Sweet Potatoes
Commercial,Indoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Mangoes
Commercial,Indoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Taro Root
Commercial,Indoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Yam Bean
Commercial,Indoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Jackfruit
Commercial,Indoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Durian
Commercial,Indoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Lychee
Commercial,Indoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Rambutan
Commercial,Indoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Longan
Commercial,Indoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Starfruit
Commercial,Indoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Mulberry
Commercial,Indoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Cacao
Commercial,Indoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Almonds (in shell)
Commercial,Indoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Pistachios (in shell)
Commercial,Indoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Peaches
Commercial,Indoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Pears (Asian variety)
Commercial,Indoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Quince
Commercial,Indoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Nance fruit
Commercial,Indoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Gooseberries
Commercial,Indoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Elderberries
Commercial,Indoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Cantaloupe
Commercial,Indoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Honeydew Melon
Commercial,Indoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Blackcurrants
Commercial,Indoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Redcurrants
Commercial,Indoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Goosefoot
Commercial,Indoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Salsify
Commercial,Indoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Taro Leaves
Commercial,Indoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Elephant Garlic
Commercial,Indoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Shallots (wild)
Commercial,Indoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Maize (corn)
Commercial,Indoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Sorghum
Commercial,Indoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Millets
Commercial,Indoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Fiddlehead Ferns
Commercial,Indoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Kudzu
Commercial,Indoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Purslane
Commercial,Indoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Jicama
Commercial,Indoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Water Chestnuts
Commercial,Indoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Cress
Commercial,Indoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Basil (Thai variety)
Commercial,Indoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Lemon Balm
Commercial,Outdoor,Small,Tropical,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Fennel Pollen
Commercial,Outdoor,Small,Tropical,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Carob
Commercial,Outdoor,Small,Tropical,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Jerusalem Artichokes (Sunchokes)
Commercial,Outdoor,Small,Tropical,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Ice Plant
Commercial,Outdoor,Small,Tropical,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Zedoary
Commercial,Outdoor,Small,Tropical,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Mache (Lamb's Lettuce)
Commercial,Outdoor,Small,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Sea Lettuce
Commercial,Outdoor,Small,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Sea Cucumber
Commercial,Outdoor,Small,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Chayote
Commercial,Outdoor,Small,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Cherries (wild)
Commercial,Outdoor,Small,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Apple Berries
Commercial,Outdoor,Small,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Mulberry Leaf
Commercial,Outdoor,Small,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Guava Leaves
Commercial,Outdoor,Small,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Cabbage Palm (heart of palm)
Commercial,Outdoor,Small,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Wild Garlic
Commercial,Outdoor,Small,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Sagebrush
Commercial,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Aronia Berry
Commercial,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Grapes (wild)
Commercial,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Rowan Berries
Commercial,Outdoor,Small,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sea Buckthorn
Commercial,Outdoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Pawpaw
Commercial,Outdoor,Small,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Papaya Leaves
Commercial,Outdoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Sweet Potato Leaves
Commercial,Outdoor,Small,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Artichoke Leaves
Commercial,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Elderflower
Commercial,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Juniper Berries
Commercial,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Bay Leaves
Commercial,Outdoor,Small,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sweet Corn
Commercial,Outdoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Lemon Verbena
Commercial,Outdoor,Small,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Lovage
Commercial,Outdoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Nettle Root
Commercial,Outdoor,Small,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Wild Lettuce
Commercial,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Dandelion Root
Commercial,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Cucumber Melon
Commercial,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Tamarillo
Commercial,Outdoor,Large,Tropical,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sweet Lime
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Sumac Berries
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Mountain Cranberries
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Wild Cherries
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Pineapple Sage
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Ground Cherry
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Wisteria (flowers are edible)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Red Clover
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Violet (flowers are edible)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Mullein (flowers and leaves)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Burdock Root
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Lamb's Quarters
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Wild Strawberry
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Saffron
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Spilanthes (toothache plant)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Moringa
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sunchoke (Jerusalem Artichoke)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Dulse (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Nori (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Kelp (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Wakame (edible seaweed)
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Chanterelle Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Morel Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Shiitake Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Oyster Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Button Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Enoki Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Cremini Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Maitake Mushrooms
